callo_id,tipo,area_pixeles,area_mm2,centroide_x,centroide_y,perimetro,circularidad,opacidad_media,imagen,fuente
1,callo,1375.5,13.755000000000003,202,344,175.5807341337204,0.5606821598322342,,p100.png,Automatico
2,callo,228.5,2.2850000000000006,266,93,109.49747407436371,0.23949026621889674,,p100.png,Automatico
1,callo,7589.5,75.89500000000001,43,124,393.9482649564743,0.6145322019302463,,p100.png,JSON
2,callo,6918.5,69.18500000000002,226,115,478.6589412689209,0.37946301892970796,,p100.png,JSON
3,callo,4832.5,48.32500000000001,348,92,364.0904002189636,0.45810314167732363,,p100.png,JSON
4,callo,866.5,8.665000000000001,43,270,116.3259003162384,0.8046844076630486,,p100.png,JSON
5,callo,6881.0,68.81000000000002,213,261,358.3919152021408,0.6732014051072398,,p100.png,JSON
6,callo,6403.5,64.03500000000001,357,254,364.4924211502075,0.6056898178296084,,p100.png,JSON
7,callo,6048.0,60.48000000000001,76,389,332.7350617647171,0.686474663541528,,p100.png,JSON
8,callo,5440.5,54.40500000000001,195,366,363.6051195859909,0.5171168623851699,,p100.png,JSON
9,callo,7906.0,79.06000000000002,357,385,448.81832134723663,0.4932027845336521,,p100.png,JSON
1,callo,497.5,4.9750000000000005,148,397,91.35533857345581,0.7490918742745736,,p101.png,Automatico
2,callo,1798.0,17.980000000000004,347,394,211.68123984336853,0.5042371161394824,,p101.png,Automatico
1,callo,6504.0,65.04,64,99,371.7056245803833,0.5915509157295529,,p101.png,JSON
2,callo,7597.5,75.97500000000001,196,111,389.948264837265,0.6278654542066087,,p101.png,JSON
3,callo,7728.5,77.28500000000001,375,93,403.0609620809555,0.597810585539429,,p101.png,JSON
4,callo,3710.0,37.10000000000001,65,269,244.65180099010468,0.778909389865935,,p101.png,JSON
5,callo,6517.5,65.17500000000001,226,247,348.3502861261368,0.6749297329068893,,p101.png,JSON
6,callo,5327.5,53.27500000000001,357,245,338.8355666399002,0.5831165139803719,,p101.png,JSON
7,callo,6481.5,64.81500000000001,95,379,373.6051199436188,0.5835253810816045,,p101.png,JSON
8,callo,6602.5,66.02500000000002,243,351,387.60511910915375,0.5522545028283706,,p101.png,JSON
